evidence_scope,annotation_id,case_id,fixture_id,baseline_id,scenario_focus,system_label,output_source,provider,model,structured_commitment_available,commitment_type,hard_constraint_violation,evidence_coverage_failure,witness_drop,consequence_continuity_failure,no_feasible_emission,repair_correct,inappropriate_personalization,surface_realization_failure,judge_score_count,judge_winner_votes,constraint_fidelity_mean,evidence_coverage_mean,consequence_continuity_mean,no_feasible_handling_mean,appropriate_personalization_mean,surface_coherence_mean,output_text
model_judge_balanced90,C001-A,C001,synthetic_career_debt_03_06_r01,raw_prompt_stuffing,career,System A,deterministic_structured_renderer,external-api,MiniMax-M2.7,true,commit,false,true,false,false,false,false,false,true,2,2,2.0000,2.0000,2.0000,1.5000,2.0000,2.0000,The system selects: Career transition with income bridge and career debt management. It preserves Visa or contract deadline must be respected; Minimum income floor must hold; Deadline evidence; Income floor evidence. It uses Caregiver schedule tail debt; Career debt evidence. It covers Career; Finance; Time window; Role detail; Income bridge; Late tail witness; Career debt detail. It carries forward Career delay follow-up; Career debt follow-up; Application sequence can change; Skill investment can change; Career debt local priority can change.
model_judge_balanced90,C001-B,C001,synthetic_career_debt_03_06_r01,validator_only,career,System B,output_text,external-api,MiniMax-M2.7,false,repair,false,false,false,false,false,true,false,false,2,0,2.0000,1.0000,0.5000,1.5000,2.0000,2.0000,"Based on your career debt priority and current constraints, I recommend targeting a full-stack developer role at enterprise firms with Q1 deadline windows. This aligns with your visa timeline, maintains income above your floor, and leverages existing technical debt expertise. Apply to 3-5 high-probability matches within the next 4 weeks, prioritizing roles that offer immediate income continuity."
model_judge_balanced90,C001-C,C001,synthetic_career_debt_03_06_r01,cbea_lcv_runtime,career,System C,output_text,external-api,MiniMax-M2.7,false,repair,false,false,false,false,false,true,false,false,2,0,2.0000,1.5000,2.0000,1.5000,2.0000,2.0000,"Based on the composite synthetic career transition fixture, the earlier local choice creates a later obligation that must be carried into the result. The plan respects the visa_or_contract_deadline_must_be_respected and maintains the minimum_income_floor_must_hold while transitioning roles. Role details are specified with an income bridge strategy that preserves the financial floor during the transition window. The late_tail_witness (caregiver_schedule_tail_debt_r01) is incorporated as a constraint on scheduling flexibility. Career debt obligations (career_debt_r01_anchor, career_debt_r01_followup) are tracked as consequence obligations, with career_delay_followup items flagged for downstream resolution. The application_sequence and skill_investment priorities are adjusted to align with the career_debt_local_priority framework while staying within the deadline and income constraints."
model_judge_balanced90,C002-A,C002,synthetic_career_debt_03_06_r06,raw_prompt_stuffing,career,System A,output_text,external-api,MiniMax-M2.7,true,commit,false,false,false,false,false,true,false,true,2,0,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,"Based on the career‑focused background, the recommended path is to target the role_detail (e.g., senior data engineer) while ensuring the income_bridge covers any gap and respects the visa_or_contract_deadline_must_be_respected. The minimum_income_floor_must_hold constraint is satisfied by the guaranteed salary floor. The late_tail_witness (caregiver_schedule_tail_debt_r06) is noted as a low‑frequency stress factor and will be monitored via career_debt_r06_followup. Downstream obligations include the career_delay_followup and the career_debt_r06_followup, ensuring timely re‑evaluation of the plan within the finance and time_window dimensions."
model_judge_balanced90,C002-B,C002,synthetic_career_debt_03_06_r06,cbea_lcv_runtime,career,System B,deterministic_structured_renderer,external-api,MiniMax-M2.7,true,commit,false,false,false,false,false,true,false,true,2,2,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,The system selects: Career transition plan. It preserves Visa or contract deadline must be respected; Minimum income floor must hold. It uses Deadline evidence; Income floor evidence; Career debt evidence; Career debt follow-up; Career delay follow-up; Caregiver schedule tail debt. It covers Career; Finance; Time window; Role detail; Income bridge; Late tail witness; Career debt detail. It carries forward Career delay follow-up; Career debt follow-up.
model_judge_balanced90,C002-C,C002,synthetic_career_debt_03_06_r06,validator_only,career,System C,deterministic_structured_renderer,external-api,MiniMax-M2.7,true,commit,false,true,true,true,false,true,false,true,2,0,2.0000,1.0000,0.5000,1.5000,2.0000,2.0000,The system selects: Apply to target role immediately. It preserves Visa or contract deadline must be respected; Minimum income floor must hold. It uses Deadline evidence; Income floor evidence; Career debt evidence. It covers Career; Finance; Time window; Role detail; Income bridge; Career debt detail. It carries forward Monitor visa or contract deadline; Maintain minimum income floor; Adjust application sequence if needed; Reallocate skill investment if required.
model_judge_balanced90,C003-A,C003,synthetic_career_debt_03_06_r12,cbea_lcv_runtime,career,System A,output_text,external-api,MiniMax-M2.7,true,commit,false,false,false,false,false,true,false,true,2,2,2.0000,1.5000,1.5000,2.0000,2.0000,2.0000,"To meet your career transition goals while respecting the visa deadline and maintaining the minimum income, pursue the target role that offers an income bridge covering the transition period. Ensure the role detail aligns with your skill investment and application sequence. Address the late‑tail witness by coordinating with your caregiver schedule to manage the caregiver schedule tail debt. Carry forward the career debt R12 obligations and schedule follow‑up actions to track progress."
model_judge_balanced90,C003-B,C003,synthetic_career_debt_03_06_r12,raw_prompt_stuffing,career,System B,output_text,external-api,MiniMax-M2.7,true,commit,false,false,false,true,false,true,false,true,2,0,2.0000,2.0000,1.5000,1.0000,2.0000,2.0000,"Based on the raw background, you should pursue an immediate application to the target role, ensuring that any visa or contract deadlines are met and that your income does not drop below the minimum floor. Prioritize the role_detail that aligns with your skill set, and arrange an income_bridge (e.g., part-time consulting) to sustain cash flow while transitioning. Account for the caregiver_schedule_tail_debt_r12 as a late_tail_witness, scheduling flexibility around it. Also, address the career_debt_r12_slot by allocating targeted skill investment to close any experience gaps, and be ready to adjust the application_sequence_can_change if new opportunities arise before the deadline."
model_judge_balanced90,C003-C,C003,synthetic_career_debt_03_06_r12,validator_only,career,System C,output_text,external-api,MiniMax-M2.7,true,commit,false,true,true,true,false,true,false,true,2,0,2.0000,0.5000,0.5000,1.0000,2.0000,2.0000,"Based on your constraints, I recommend pursuing the senior data science role at the enterprise firm while maintaining your current contracting position through the 90-day visa window. Your minimum income floor of $X will be preserved through the contracting work, and the career debt R12 allocation should be redirected to interview preparation rather than skill investment, as your existing skills already meet the role requirements. The application sequence should prioritize this role first given the deadline sensitivity, with backup applications sequenced for weeks 4-6 to ensure coverage if the primary opportunity does not materialize within the visa window."
model_judge_balanced90,C004-A,C004,synthetic_career_falsehard_03_03_r01,cbea_lcv_runtime,career,System A,output_text,external-api,MiniMax-M2.7,true,commit,false,false,false,false,false,true,false,true,2,1,2.0000,1.0000,1.0000,1.5000,2.0000,2.0000,"Proceed with a career transition to a senior data analyst role, ensuring the visa_or_contract_deadline_must_be_respected and maintaining at least the minimum_income_floor_must_hold. Use the caregiver_schedule_tail_falsehard_r01 as a late tail witness to handle scheduling constraints, and keep the career_falsehard_r01 slot active for future re‑evaluation."
