annotation_id,case_id,system_label,scenario_focus,stress_surfaces,case_brief,runtime_control_reference,output_text,output_source
C001-A,C001,System A,career,"[""consequence_debt"",""witness_drop""]","Composite synthetic career transition fixture. An earlier local choice creates a later obligation that must be carried into the result. No raw production history is used; this fixture preserves only an abstract consequence debt stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail debt.","Case setup: Composite synthetic career transition fixture. An earlier local choice creates a later obligation that must be carried into the result. No raw production history is used; this fixture preserves only an abstract consequence debt stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail debt.
Confirmed hard boundaries: Visa or contract deadline must be respected; Minimum income floor must hold.
Required evidence and details: Career; Finance; Time window; Role detail; Income bridge; Late tail witness; Career debt detail; Deadline evidence; Income floor evidence; Career debt evidence; Caregiver schedule tail debt.
Consequence obligations: Career delay follow-up; Career debt follow-up.
Runtime-control stress: retain low-frequency evidence that materially changes the commitment; carry forward downstream obligations created by earlier choices.
A faithful output may make a commitment only if it preserves the confirmed boundaries and required evidence.",,empty
C001-B,C001,System B,career,"[""consequence_debt"",""witness_drop""]","Composite synthetic career transition fixture. An earlier local choice creates a later obligation that must be carried into the result. No raw production history is used; this fixture preserves only an abstract consequence debt stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail debt.","Case setup: Composite synthetic career transition fixture. An earlier local choice creates a later obligation that must be carried into the result. No raw production history is used; this fixture preserves only an abstract consequence debt stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail debt.
Confirmed hard boundaries: Visa or contract deadline must be respected; Minimum income floor must hold.
Required evidence and details: Career; Finance; Time window; Role detail; Income bridge; Late tail witness; Career debt detail; Deadline evidence; Income floor evidence; Career debt evidence; Caregiver schedule tail debt.
Consequence obligations: Career delay follow-up; Career debt follow-up.
Runtime-control stress: retain low-frequency evidence that materially changes the commitment; carry forward downstream obligations created by earlier choices.
A faithful output may make a commitment only if it preserves the confirmed boundaries and required evidence.",,empty
C001-C,C001,System C,career,"[""consequence_debt"",""witness_drop""]","Composite synthetic career transition fixture. An earlier local choice creates a later obligation that must be carried into the result. No raw production history is used; this fixture preserves only an abstract consequence debt stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail debt.","Case setup: Composite synthetic career transition fixture. An earlier local choice creates a later obligation that must be carried into the result. No raw production history is used; this fixture preserves only an abstract consequence debt stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail debt.
Confirmed hard boundaries: Visa or contract deadline must be respected; Minimum income floor must hold.
Required evidence and details: Career; Finance; Time window; Role detail; Income bridge; Late tail witness; Career debt detail; Deadline evidence; Income floor evidence; Career debt evidence; Caregiver schedule tail debt.
Consequence obligations: Career delay follow-up; Career debt follow-up.
Runtime-control stress: retain low-frequency evidence that materially changes the commitment; carry forward downstream obligations created by earlier choices.
A faithful output may make a commitment only if it preserves the confirmed boundaries and required evidence.",,empty
C002-A,C002,System A,career,"[""consequence_debt"",""witness_drop""]","Composite synthetic career transition fixture. An earlier local choice creates a later obligation that must be carried into the result. No raw production history is used; this fixture preserves only an abstract consequence debt stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail debt.","Case setup: Composite synthetic career transition fixture. An earlier local choice creates a later obligation that must be carried into the result. No raw production history is used; this fixture preserves only an abstract consequence debt stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail debt.
Confirmed hard boundaries: Visa or contract deadline must be respected; Minimum income floor must hold.
Required evidence and details: Career; Finance; Time window; Role detail; Income bridge; Late tail witness; Career debt detail; Deadline evidence; Income floor evidence; Career debt evidence; Caregiver schedule tail debt.
Consequence obligations: Career delay follow-up; Career debt follow-up.
Runtime-control stress: retain low-frequency evidence that materially changes the commitment; carry forward downstream obligations created by earlier choices.
A faithful output may make a commitment only if it preserves the confirmed boundaries and required evidence.",,empty
C002-B,C002,System B,career,"[""consequence_debt"",""witness_drop""]","Composite synthetic career transition fixture. An earlier local choice creates a later obligation that must be carried into the result. No raw production history is used; this fixture preserves only an abstract consequence debt stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail debt.","Case setup: Composite synthetic career transition fixture. An earlier local choice creates a later obligation that must be carried into the result. No raw production history is used; this fixture preserves only an abstract consequence debt stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail debt.
Confirmed hard boundaries: Visa or contract deadline must be respected; Minimum income floor must hold.
Required evidence and details: Career; Finance; Time window; Role detail; Income bridge; Late tail witness; Career debt detail; Deadline evidence; Income floor evidence; Career debt evidence; Caregiver schedule tail debt.
Consequence obligations: Career delay follow-up; Career debt follow-up.
Runtime-control stress: retain low-frequency evidence that materially changes the commitment; carry forward downstream obligations created by earlier choices.
A faithful output may make a commitment only if it preserves the confirmed boundaries and required evidence.",,empty
C002-C,C002,System C,career,"[""consequence_debt"",""witness_drop""]","Composite synthetic career transition fixture. An earlier local choice creates a later obligation that must be carried into the result. No raw production history is used; this fixture preserves only an abstract consequence debt stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail debt.","Case setup: Composite synthetic career transition fixture. An earlier local choice creates a later obligation that must be carried into the result. No raw production history is used; this fixture preserves only an abstract consequence debt stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail debt.
Confirmed hard boundaries: Visa or contract deadline must be respected; Minimum income floor must hold.
Required evidence and details: Career; Finance; Time window; Role detail; Income bridge; Late tail witness; Career debt detail; Deadline evidence; Income floor evidence; Career debt evidence; Caregiver schedule tail debt.
Consequence obligations: Career delay follow-up; Career debt follow-up.
Runtime-control stress: retain low-frequency evidence that materially changes the commitment; carry forward downstream obligations created by earlier choices.
A faithful output may make a commitment only if it preserves the confirmed boundaries and required evidence.",,empty
C003-A,C003,System A,career,"[""consequence_debt"",""witness_drop""]","Composite synthetic career transition fixture. An earlier local choice creates a later obligation that must be carried into the result. No raw production history is used; this fixture preserves only an abstract consequence debt stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail debt.","Case setup: Composite synthetic career transition fixture. An earlier local choice creates a later obligation that must be carried into the result. No raw production history is used; this fixture preserves only an abstract consequence debt stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail debt.
Confirmed hard boundaries: Visa or contract deadline must be respected; Minimum income floor must hold.
Required evidence and details: Career; Finance; Time window; Role detail; Income bridge; Late tail witness; Career debt detail; Deadline evidence; Income floor evidence; Career debt evidence; Caregiver schedule tail debt.
Consequence obligations: Career delay follow-up; Career debt follow-up.
Runtime-control stress: retain low-frequency evidence that materially changes the commitment; carry forward downstream obligations created by earlier choices.
A faithful output may make a commitment only if it preserves the confirmed boundaries and required evidence.",,empty
C003-B,C003,System B,career,"[""consequence_debt"",""witness_drop""]","Composite synthetic career transition fixture. An earlier local choice creates a later obligation that must be carried into the result. No raw production history is used; this fixture preserves only an abstract consequence debt stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail debt.","Case setup: Composite synthetic career transition fixture. An earlier local choice creates a later obligation that must be carried into the result. No raw production history is used; this fixture preserves only an abstract consequence debt stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail debt.
Confirmed hard boundaries: Visa or contract deadline must be respected; Minimum income floor must hold.
Required evidence and details: Career; Finance; Time window; Role detail; Income bridge; Late tail witness; Career debt detail; Deadline evidence; Income floor evidence; Career debt evidence; Caregiver schedule tail debt.
Consequence obligations: Career delay follow-up; Career debt follow-up.
Runtime-control stress: retain low-frequency evidence that materially changes the commitment; carry forward downstream obligations created by earlier choices.
A faithful output may make a commitment only if it preserves the confirmed boundaries and required evidence.",,empty
C003-C,C003,System C,career,"[""consequence_debt"",""witness_drop""]","Composite synthetic career transition fixture. An earlier local choice creates a later obligation that must be carried into the result. No raw production history is used; this fixture preserves only an abstract consequence debt stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail debt.","Case setup: Composite synthetic career transition fixture. An earlier local choice creates a later obligation that must be carried into the result. No raw production history is used; this fixture preserves only an abstract consequence debt stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail debt.
Confirmed hard boundaries: Visa or contract deadline must be respected; Minimum income floor must hold.
Required evidence and details: Career; Finance; Time window; Role detail; Income bridge; Late tail witness; Career debt detail; Deadline evidence; Income floor evidence; Career debt evidence; Caregiver schedule tail debt.
Consequence obligations: Career delay follow-up; Career debt follow-up.
Runtime-control stress: retain low-frequency evidence that materially changes the commitment; carry forward downstream obligations created by earlier choices.
A faithful output may make a commitment only if it preserves the confirmed boundaries and required evidence.",,empty
C004-A,C004,System A,career,"[""false_hardening"",""over_personalization""]","Composite synthetic career transition fixture. A soft preference is phrased emotionally and can be mistaken for a confirmed hard predicate. No raw production history is used; this fixture preserves only an abstract false hardening stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail falsehard.","Case setup: Composite synthetic career transition fixture. A soft preference is phrased emotionally and can be mistaken for a confirmed hard predicate. No raw production history is used; this fixture preserves only an abstract false hardening stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail falsehard.
Confirmed hard boundaries: Visa or contract deadline must be respected; Minimum income floor must hold.
Required evidence and details: Career; Finance; Time window; Role detail; Income bridge; Late tail witness; Career falsehard detail; Deadline evidence; Income floor evidence; Career falsehard evidence; Caregiver schedule tail falsehard.
Consequence obligations: Career delay follow-up; Career falsehard follow-up.
Runtime-control stress: do not convert soft preferences or emotional hints into new hard constraints; avoid intrusive or unsupported personalization beyond the confirmed evidence.
A faithful output may make a commitment only if it preserves the confirmed boundaries and required evidence.",,empty
