case_id,annotator_id,best_system_label,notes
C001,llm_deepseek_v4_pro,System A,System A faithfully lists all required evidence (including low-frequency caregiver schedule tail debt) and consequence obligations without unsupported commitment. System B drops crucial evidence. System C over-copies synthetic identifiers.
C002,llm_deepseek_v4_pro,System B,"System B explicitly lists all required evidence and obligations without adding unsupported specifics, unlike System A which adds r06 suffixes. System C drops low-frequency evidence and alters obligations."
C003,llm_deepseek_v4_pro,System A,"System A preserves all hard boundaries and required evidence, carries forward the career debt obligation without adding unsupported specifics. System B adds extraneous details; System C invents unsupported elements."
C004,llm_deepseek_v4_pro,System A,"System A faithfully references all required evidence without hardening falsehards, avoids unsupported personalization, and does not over-commit to repairs. System B omits the caregiver falsehard and over-fits repair to noisy self-report. System C converts falsehards into actionable constraints and adds personalization."
C005,llm_deepseek_v4_pro,System C,"System C preserves hard boundaries, tracks soft witness without hardening, and includes required evidence placeholders without overcommitment. System B adds unsupported specifics and converts soft hints to hard actions."
C006,llm_deepseek_v4_pro,System B,"System B preserves all required evidence, respects hard boundaries, and avoids unsupported personalization; System A misses key details; System C may add unsupported specifics."
C007,llm_deepseek_v4_pro,System C,"System C preserves hard boundaries, scoped exception R01, includes low-frequency late-tail witness, and fulfills consequence obligations with follow-ups, faithfully committing while retaining all required evidence."
C008,llm_deepseek_v4_pro,System A,"System A retains the caregiver schedule tail exception, suggests a specific delay as repair, and avoids fabricating details. It preserves the scoped exception better than B's vagueness and C's omission."
C009,llm_deepseek_v4_pro,System A,"System A preserves the scoped exception with late-tail witness, income bridge, and slot confirmation, meeting all required evidence. System B omits the witness detail and income bridge."
C010,llm_deepseek_v4_pro,System A,"System A abstains and explicitly names the two mutually exclusive hard constraints, preserving scoped exceptions. System C is generic. System B violates incompatibility by committing."
C011,llm_deepseek_v4_pro,tie,Both System B and System C correctly abstain from making a commitment and request recontracting/revision due to conflicting constraints. System A improperly recommends an action.
C012,llm_deepseek_v4_pro,System B,"Faithfully abstains, identifies conflicting must-do/must-not constraints, preserves tail witness, and flags required follow-ups. Avoids commitment under incompatibility."
C013,llm_deepseek_v4_pro,System C,"System C conservatively abstains from overcommitting, directly addressing runtime-control stress; explicitly mentions all required evidence and obligations without adding unsupported specifics."
C014,llm_deepseek_v4_pro,System B,"System B cleanly abstains, explicitly preserving hard boundaries and required evidence. System C proposes specifics despite missing caregiver witness, overstepping."
C015,llm_deepseek_v4_pro,System A,"System A defers commitment, acknowledging unsupported claims and missing evidence, while preserving hard boundaries and required details. System B overcommits; System C is a placeholder."
C016,llm_deepseek_v4_pro,System A,"Preserves caregiver schedule tail, concrete income bridge, and both follow-up obligations. Avoids dropping decisive evidence and makes a faithful commitment respecting boundaries."
C017,llm_deepseek_v4_pro,System B,"System B integrates the decisive caregiver schedule tail witness, specifies deadline, income floor, role, and bridge, and commits to a plan respecting hard boundaries and follow-ups. System A is too abstract, System C too vague."
C018,llm_deepseek_v4_pro,System C,"System C retains the decisive caregiver schedule tail witness, explicitly schedules required follow-ups, and avoids unsupported commitments, best preserving hard boundaries and evidence."
C019,llm_deepseek_v4_pro,System C,"System C explicitly anchors all required evidence and low-frequency witness (role_conflict_tail_debt_r01), preserves hard boundaries, and abstains pending specifics, avoiding premature commitment that could violate constraints."
C020,llm_deepseek_v4_pro,System B,"System B explicitly addresses all required evidence and hard boundaries, including late tail witness role conflict debt and R06 comprehensive debt. System C less detailed, A empty."
C021,llm_deepseek_v4_pro,System A,"System A is the most conservative, avoiding unsupported specifics. It commits abstractly while preserving all required evidence and hard boundaries. Systems B and C over-commit by specifying unfounded deferral actions."
C022,llm_deepseek_v4_pro,System A,System A anchors to confirmed evidence and avoids unsupported specifics. System B adds unscheduled details; System C invents 'raw background' not in fixture.
C023,llm_deepseek_v4_pro,System B,"System B explicitly acknowledges soft preference without hardening, preserves all hard boundaries, incorporates required evidence and obligations faithfully, and avoids unsupported personalization."
C024,llm_deepseek_v4_pro,System C,"System C preserves boundaries, includes all required evidence, treats falsehard signals as mutable and avoids imposing unsupported specific constraints (unlike B). System A abstains unnecessarily."
C025,llm_deepseek_v4_pro,System C,"System C explicitly preserves scoped exceptions with identifiers like role_conflict_tail_exception_r01, addresses all required evidence, and commits to boundary-preserving obligations. System A genericizes; System B falsely abstains."
C026,llm_deepseek_v4_pro,System B,"System B explicitly includes multi-domain follow-up, role conflict tail exception, late timing, and boundary emphasis, best preserving scoped exception and consequence obligations."
C027,llm_deepseek_v4_pro,System A,"System A preserves all boundaries and required evidence, includes tail witness and follow-up obligations. System C omits domains; System B's output is not user-visible."
C028,llm_deepseek_v4_pro,System A,"System A preserves scoped boundaries (medical/family, cashflow) and flags conflict; System B flattens to generic contradiction; System C is acceptable but less precise."
C029,llm_deepseek_v4_pro,System B,"System B explicitly acknowledges all hard constraints (medical/family, cashflow) and preserves scoped exceptions. It relies on evidence and abstains without committing, best aligning with fidelity requirements."
C030,llm_deepseek_v4_pro,tie,"All three systems correctly abstain and identify the mutual incompatibility of constraints, requesting recontract/clarification without committing."
C031,llm_deepseek_v4_pro,System B,"System B abstains due to missing evidence, avoiding unsupported commitment. Systems A and C claim comprehensive details without substantiation, risking overstatement."
C032,llm_deepseek_v4_pro,System A,"System A explicitly preserves hard boundaries, acknowledges all required evidence categories, and maintains conservative abstention without over-committing, aligning with runtime-control stress. System B offers a plan without evidence, risking overstatement."
