annotation_id,case_id,fixture_id,system_label,baseline_id
C001-A,C001,synthetic_career_debt_03_06_r01,System A,raw_prompt_stuffing
C001-B,C001,synthetic_career_debt_03_06_r01,System B,validator_only
C001-C,C001,synthetic_career_debt_03_06_r01,System C,cbea_lcv_runtime
C002-A,C002,synthetic_career_debt_03_06_r06,System A,raw_prompt_stuffing
C002-B,C002,synthetic_career_debt_03_06_r06,System B,cbea_lcv_runtime
C002-C,C002,synthetic_career_debt_03_06_r06,System C,validator_only
C003-A,C003,synthetic_career_debt_03_06_r12,System A,cbea_lcv_runtime
C003-B,C003,synthetic_career_debt_03_06_r12,System B,raw_prompt_stuffing
C003-C,C003,synthetic_career_debt_03_06_r12,System C,validator_only
C004-A,C004,synthetic_career_falsehard_03_03_r01,System A,cbea_lcv_runtime
C004-B,C004,synthetic_career_falsehard_03_03_r01,System B,validator_only
C004-C,C004,synthetic_career_falsehard_03_03_r01,System C,raw_prompt_stuffing
C005-A,C005,synthetic_career_falsehard_03_03_r06,System A,validator_only
C005-B,C005,synthetic_career_falsehard_03_03_r06,System B,raw_prompt_stuffing
C005-C,C005,synthetic_career_falsehard_03_03_r06,System C,cbea_lcv_runtime
C006-A,C006,synthetic_career_falsehard_03_03_r12,System A,validator_only
C006-B,C006,synthetic_career_falsehard_03_03_r12,System B,cbea_lcv_runtime
C006-C,C006,synthetic_career_falsehard_03_03_r12,System C,raw_prompt_stuffing
C007-A,C007,synthetic_career_exception_03_04_r01,System A,raw_prompt_stuffing
C007-B,C007,synthetic_career_exception_03_04_r01,System B,validator_only
C007-C,C007,synthetic_career_exception_03_04_r01,System C,cbea_lcv_runtime
C008-A,C008,synthetic_career_exception_03_04_r06,System A,raw_prompt_stuffing
C008-B,C008,synthetic_career_exception_03_04_r06,System B,cbea_lcv_runtime
C008-C,C008,synthetic_career_exception_03_04_r06,System C,validator_only
C009-A,C009,synthetic_career_exception_03_04_r12,System A,cbea_lcv_runtime
C009-B,C009,synthetic_career_exception_03_04_r12,System B,raw_prompt_stuffing
C009-C,C009,synthetic_career_exception_03_04_r12,System C,validator_only
C010-A,C010,synthetic_career_infeasible_03_02_r01,System A,cbea_lcv_runtime
C010-B,C010,synthetic_career_infeasible_03_02_r01,System B,validator_only
